series_id,station_id,station,river,var_id,network,lat,lon,cat_start,cat_end
26412,1724,Paraná,,39,estaciones_pvnymm,-31.7208003997803,-60.5155982971191,2017-01-01T00:00:00,2021-06-09T00:00:00
26413,1725,Diamante,,39,estaciones_pvnymm,-32.0560989379883,-60.6439018249512,2017-01-01T00:00:00,2021-07-30T00:00:00
3333,1727,Hernandarias,,2,estaciones_pvnymm,-31.2299995422363,-59.9926986694336,2017-01-01T00:00:00,2020-07-15T12:00:00
26415,1727,Hernandarias,,39,estaciones_pvnymm,-31.2299995422363,-59.9926986694336,2017-01-01T00:00:00,2020-07-15T00:00:00
3334,1728,Santa Elena,,2,estaciones_pvnymm,-30.9685001373291,-59.8147010803223,2017-01-01T00:00:00,2021-07-30T06:00:00
26416,1728,Santa Elena,,39,estaciones_pvnymm,-30.9685001373291,-59.8147010803223,2017-01-01T00:00:00,2021-07-30T00:00:00
26417,1729,La Paz,,39,estaciones_pvnymm,-30.7325992584229,-59.6391983032227,2017-01-01T00:00:00,2021-07-30T00:00:00
3336,1730,Esquina,,2,estaciones_pvnymm,-30.0167007446289,-59.5368995666504,2017-01-01T00:00:00,2021-07-30T06:00:00
26418,1730,Esquina,,39,estaciones_pvnymm,-30.0167007446289,-59.5368995666504,2017-01-01T00:00:00,2021-07-30T00:00:00
3337,1731,Reconquista,,2,estaciones_pvnymm,-29.2353000640869,-59.5794982910156,2017-01-01T00:00:00,2021-07-30T06:00:00
3338,1732,Goya,,2,estaciones_pvnymm,-29.1431999206543,-59.2727012634277,2017-01-01T12:00:00,2021-07-30T06:00:00
3340,1734,Empedrado,,2,estaciones_pvnymm,-27.9589004516602,-58.8203010559082,2017-01-02T00:00:00,2021-07-30T00:00:00
3341,1735,Barranqueras,,2,estaciones_pvnymm,-27.4885005950928,-58.923900604248,2017-01-01T00:00:00,2020-03-11T06:00:00
26425,1737,Paso de la Patria,,39,estaciones_pvnymm,-27.3222999572754,-58.5824012756348,2017-01-02T00:00:00,2021-07-30T00:00:00
3344,1739,Atalaya,Río de la Plata,2,estaciones_shn,-35.015278,-57.536111,2018-05-02T19:45:00,2026-08-30T20:45:00
26427,1740,Pilote Norden,Río de la Plata,39,estaciones_shn,-34.62625,-57.927417,2012-02-12T00:00:00,2026-08-29T00:00:00
