series_id,station_id,station,river,variable,var_id,unit,network,province,procedure,lat,lon,live,percentiles
891,42,Escobar,PARANADELASPALMAS,Caudal,4,,alturas_prefe,,,-34.3,-58.7333333333,True,
3479,42,Escobar,PARANADELASPALMAS,Caudal,4,,alturas_prefe,,,-34.3,-58.7333333333,True,
25520,42,Escobar,PARANADELASPALMAS,Altura hidrométrica media mensual,33,,alturas_prefe,,,-34.3,-58.7333333333,True,
26639,42,Escobar,PARANADELASPALMAS,Caudal medio diario,40,,alturas_prefe,,,-34.3,-58.7333333333,True,
5985,43,Villa Paranacito,LATINTA,Altura hidrométrica,2,,alturas_prefe,,,-33.7,-58.65,True,
3539,43,Villa Paranacito,LATINTA,Altura hidrométrica media mensual,33,,alturas_prefe,,,-33.7,-58.65,True,
26640,43,Villa Paranacito,LATINTA,Caudal medio diario,40,,alturas_prefe,,,-33.7,-58.65,True,
893,44,Canal Nuevo,CANALGAFOTRE,Caudal,4,,alturas_prefe,,,-33.8627031166646,-58.6604197120006,True,
3451,44,Canal Nuevo,CANALGAFOTRE,Caudal,4,,alturas_prefe,,,-33.8627031166646,-58.6604197120006,True,
25522,44,Canal Nuevo,CANALGAFOTRE,Altura hidrométrica media mensual,33,,alturas_prefe,,,-33.8627031166646,-58.6604197120006,True,False
3420,45,Ibicuy,PARANAIBICUY,Altura hidrométrica,2,,alturas_prefe,,,-33.7619777376355,-59.1800594404244,True,
3447,45,Ibicuy,PARANAIBICUY,Altura hidrométrica,2,,alturas_prefe,,,-33.7619777376355,-59.1800594404244,True,
3474,45,Ibicuy,PARANAIBICUY,Caudal,4,,alturas_prefe,,,-33.7619777376355,-59.1800594404244,True,
3501,45,Ibicuy,PARANAIBICUY,Caudal,4,,alturas_prefe,,,-33.7619777376355,-59.1800594404244,True,
26287,45,Ibicuy,PARANAIBICUY,Altura hidrométrica media diaria,39,,alturas_prefe,,,-33.7619777376355,-59.1800594404244,True,
26642,45,Ibicuy,PARANAIBICUY,Caudal medio diario,40,,alturas_prefe,,,-33.7619777376355,-59.1800594404244,True,
5982,46,Puerto Ruiz,GUALEGUAY,Altura hidrométrica,2,,alturas_prefe,,,-33.2166666667,-59.3666666667,True,
5983,46,Puerto Ruiz,GUALEGUAY,Altura hidrométrica,2,,alturas_prefe,,,-33.2166666667,-59.3666666667,True,
5987,46,Puerto Ruiz,GUALEGUAY,Caudal,4,,alturas_prefe,,,-33.2166666667,-59.3666666667,True,
29618,46,Puerto Ruiz,GUALEGUAY,Altura hidrométrica media mensual,33,,alturas_prefe,,,-33.2166666667,-59.3666666667,True,
47,47,Martín García,RIODELAPLATA,Altura hidrométrica,2,,alturas_prefe,,,-34.1902896924007,-58.2530455191105,True,
896,47,Martín García,RIODELAPLATA,Caudal,4,,alturas_prefe,,,-34.1902896924007,-58.2530455191105,True,
48,48,Guazucito,PARANAGUAZU,Altura hidrométrica,2,,alturas_prefe,,,-34.0166666667,-58.4,True,
897,48,Guazucito,PARANAGUAZU,Caudal,4,,alturas_prefe,,,-34.0166666667,-58.4,True,
26645,48,Guazucito,PARANAGUAZU,Caudal medio diario,40,,alturas_prefe,,,-34.0166666667,-58.4,True,
49,49,Tigre,LUJAN,Altura hidrométrica,2,,alturas_prefe,,,-34.4159316389634,-58.5779747237367,True,
3400,49,Tigre,LUJAN,Altura hidrométrica,2,,alturas_prefe,,,-34.4159316389634,-58.5779747237367,True,
898,49,Tigre,LUJAN,Caudal,4,,alturas_prefe,,,-34.4159316389634,-58.5779747237367,True,
25527,49,Tigre,LUJAN,Altura hidrométrica media mensual,33,,alturas_prefe,,,-34.4159316389634,-58.5779747237367,True,
26291,49,Tigre,LUJAN,Altura hidrométrica media diaria,39,,alturas_prefe,,,-34.4159316389634,-58.5779747237367,True,
26646,49,Tigre,LUJAN,Caudal medio diario,40,,alturas_prefe,,,-34.4159316389634,-58.5779747237367,True,
3399,50,Dique Luján,LUJAN,Altura hidrométrica,2,,alturas_prefe,,,-34.351576,-58.686115,True,
3426,50,Dique Luján,LUJAN,Altura hidrométrica,2,,alturas_prefe,,,-34.351576,-58.686115,True,
899,50,Dique Luján,LUJAN,Caudal,4,,alturas_prefe,,,-34.351576,-58.686115,True,
3480,50,Dique Luján,LUJAN,Caudal,4,,alturas_prefe,,,-34.351576,-58.686115,True,
51,51,Chaná Miní,CHANA,Altura hidrométrica,2,,alturas_prefe,,,-34.2,-58.4833333333,True,
3401,51,Chaná Miní,CHANA,Altura hidrométrica,2,,alturas_prefe,,,-34.2,-58.4833333333,True,
3428,51,Chaná Miní,CHANA,Altura hidrométrica,2,,alturas_prefe,,,-34.2,-58.4833333333,True,
900,51,Chaná Miní,CHANA,Caudal,4,,alturas_prefe,,,-34.2,-58.4833333333,True,
3455,51,Chaná Miní,CHANA,Caudal,4,,alturas_prefe,,,-34.2,-58.4833333333,True,
