series_id,station,river,network,lat,lon,cat_start,cat_end,donor_series_id,donor_station,donor_river,match_type,match_km,river_agrees,combined_years,tier
38273,Marapa - RN Nº 157 Lamadrid,,sat2,-27.6572222222222,-65.2447222222222,2024-09-14T00:00:00,2026-08-29T00:00:00,,,,,,,2.0,3
38275,Negro - Paso Cordova,,sat2,-39.1125,-67.6230555555556,2025-07-18T00:00:00,2026-08-29T00:00:00,,,,,,,1.1,3
38278,Neuquén - Dique Ballester,,sat2,-38.7247222222222,-68.1705555555556,2024-09-14T00:00:00,2026-08-29T00:00:00,,,,,,,2.0,3
38279,Nogoya - RP Nº 11,,sat2,-32.8419444444444,-59.8647222222222,2024-10-08T00:00:00,2026-08-29T00:00:00,29873,Nogoyá Ruta Provincial nº 11,NOGOYA,coords,0.01,unknown,25.3,2
38280,Paraná - HID Chapetón,,sat2,-31.5741666666667,-60.2833333333333,2024-09-14T00:00:00,2026-08-29T00:00:00,30073,PARANA - CHAPETON,Paraná,coords,0.01,unknown,2.2,3
38281,Paraná - Ita Cajón,,sat2,-25.6047222222222,-54.5941666666667,2024-09-14T00:00:00,2026-08-29T00:00:00,6499,Paraná - Itá Cajón,Paraná,coords,0.15,unknown,25.3,2
38282,Paranay - El Alcázar,,sat2,-26.7508333333333,-54.7558333333333,2024-09-14T00:00:00,2026-08-29T00:00:00,35456,Paranay - El Alcazar,Paranay,coords,0.05,unknown,25.3,2
38283,Pico - Frontera,,sat2,-44.2402777777778,-71.66,2024-09-14T00:00:00,2026-08-29T00:00:00,30035,Pico - Frontera,Río Pico,coords,0.01,unknown,2.2,3
38284,Salí - Simoca,,sat2,-27.3186111111111,-65.2277777777778,2024-09-14T00:00:00,2026-08-29T00:00:00,,,,,,,2.0,3
37558,Santa Catalina - Catalina 630,,sat2,-33.2844444444444,-64.3536111111111,2024-09-13T16:00:00,2026-08-30T21:00:00,,,,,,,2.0,3
37559,Santa Catalina - Colonia Hogar,,sat2,-30.8491666666667,-64.2738888888889,2024-09-26T00:00:00,2026-08-30T16:00:00,,,,,,,1.9,3
38287,Santa Catalina - Colonia Hogar,,sat2,-30.8491666666667,-64.2738888888889,2024-09-27T00:00:00,2026-08-29T00:00:00,,,,,,,1.9,3
38289,Tecka - Estancia Niedo,,sat2,-43.3497222222222,-70.8797222222222,2024-09-14T00:00:00,2026-08-29T00:00:00,,,,,,,2.0,3
37578,Tercero - Villa María,,sat2,-32.4219444444444,-63.2447222222222,2024-09-13T16:00:00,2026-08-30T21:00:00,,,,,,,2.0,3
38291,Ternero - Cuesta del Ternero,,sat2,-41.9505555555556,-71.3752777777778,2025-06-12T00:00:00,2026-08-29T00:00:00,29950,EL TERNERO - CUESTA DEL TERNERO,El Ternero,coords,0.62,unknown,2.2,3
38292,Tunuyán - Las Catitas,,sat2,-33.3072222222222,-68.0613888888889,2024-09-14T00:00:00,2026-08-29T00:00:00,,,,,,,2.0,3
38294,Vacas - Punta de Vacas  ,,sat2,-32.8469444444444,-69.7625,2024-09-14T00:00:00,2026-08-29T00:00:00,,,,,,,2.0,3
42282,Miní - Ministerio,Paraná Miní,ina_delta,-34.123753,-58.579646,2026-03-02T12:45:10,2026-08-30T20:45:11,,,,,,,0.5,3
43908,Mayo - Paso Río Mayo - HID,,sat2,-45.6836111111111,-70.2480555555556,2026-07-12T01:00:00,2026-08-30T21:00:00,30030,MAYO - PASO RIO MAYO,RÃ­o Mayo,coords,0.49,unknown,18.7,2
38455,Salado - El Arenal,,sat2,-26.3741666666667,-63.7244444444444,2024-09-16T20:00:00,2026-08-30T16:00:00,6309,Salado - El Arenal,Salado,coords,0.01,unknown,16.4,2
38460,Lago Viedma - Lago Viedma,,sat2,-49.3944444444444,-72.8694444444444,2024-09-16T20:00:00,2026-08-30T12:00:00,6132,LAGO VIEDMA - LAGO VIEDMA,Lago Viedma,coords,0.02,unknown,7.1,3
38442,Lago Epuyen - Muelle,,sat2,-42.2083333333333,-71.4227777777778,2024-09-16T20:00:00,2026-08-30T16:00:00,6432,EPUYÉN - MUELLE,Epuyén,coords,0.39,unknown,7.1,3
38447,Lago Posadas - Posadas,,sat2,-47.5113888888889,-71.8719444444444,2024-09-16T20:00:00,2026-08-30T08:00:00,6163,LAGO POSADAS - LAGO POSADAS,Lago Posadas,coords,0.02,unknown,16.5,2
38449,Lago Pueyrredón - Pueyrredón,,sat2,-47.3758333333333,-71.9680555555556,2024-09-16T20:00:00,2026-08-30T16:00:00,29922,LAGO PUEYRREDON - LAGO PUEYRREDON,Lago Pueyrredón,coords,0.04,unknown,2.2,3
38484,Pilcomayo - Misión La Paz,,sat2,-22.3775,-62.5236111111111,2024-09-16T20:00:00,2026-08-30T16:00:00,6363,Pilcomayo - La Paz,Pilcomayo,coords,0.01,unknown,84.7,2
38457,Gualeguay - Paso Alonso,,sat2,-33.1005555555556,-59.2702777777778,2024-09-16T20:00:00,2026-08-30T16:00:00,42624,Paso Alonso,GUALEGUAY,coords,0.01,unknown,25.2,2
38465,Paraná - Diamante,Paraná,sat2,-32.0577777777778,-60.645,2024-09-16T20:00:00,2026-08-30T16:00:00,,,,,,,2.0,3
38462,Paraná - Villa Constitución,Paraná,sat2,-33.2272222222222,-60.32,2024-09-16T20:00:00,2026-08-30T16:00:00,,,,,,,2.0,3
38467,Paraná - Timbúes,,sat2,-32.7197222222222,-60.7261111111111,2024-09-16T20:00:00,2026-08-30T16:00:00,,,,,,,2.0,3
38711,Aº Malabrigo - RN Nº11,,sat2,-29.2788888888889,-59.7863888888889,2024-12-20T16:00:00,2026-08-30T16:00:00,6661,Ruta Nacional nº 11,MALABRIGO,coords,0.07,unknown,1.7,3
38713,Salado - Puente Carretero,,sat2,-34.6113888888889,-60.9572222222222,2024-09-16T20:00:00,2026-08-30T16:00:00,,,,,,,2.0,3
