series_id,station_id,station,river,variable,var_id,unit,network,procedure,lat,lon,live,n_obs,last_seen,percentiles
38298,2607,Atuel - Loma Negra,,Altura hidrométrica 4-horaria,101,,sat2,,-35.2641666666667,-69.2497222222222,,,,
8233,2608,Diamante - La Jaula,,Altura hidrométrica,2,,sat2,,-34.6686111111111,-69.3163888888889,True,22,2026-08-30T18:00:00.000Z,
38300,2608,Diamante - La Jaula,,Altura hidrométrica 4-horaria,101,,sat2,,-34.6686111111111,-69.3163888888889,,,,
8312,2671,Canal Finca Agropecuaria,,Altura hidrométrica,2,,sat2,,-25.1608333333333,-64.1058333333333,,,,
26556,2671,Canal Finca Agropecuaria,,Altura hidrométrica media diaria,39,,sat2,,-25.1608333333333,-64.1058333333333,True,2,2026-08-29T03:00:00.000Z,
26557,2672,Juramento - Finca Agropecuari,,Altura hidrométrica media diaria,39,,sat2,,-25.1613888888889,-64.1061111111111,,,,
38418,2672,Juramento - Finca Agropecuari,,Altura hidrométrica 4-horaria,101,,sat2,,-25.1613888888889,-64.1061111111111,,,,
26559,2697,Prueba - GSM,,Altura hidrométrica media diaria,39,,sat2,,-34.0,-59.0,,,,
8891,2706,ZEstacion de prueba 9003,,Altura hidrométrica,2,,sat2,,-34.6130555555556,-58.3772222222222,,,,
38419,2706,ZEstacion de prueba 9003,,Altura hidrométrica 4-horaria,101,,sat2,,-34.6130555555556,-58.3772222222222,,,,
26561,2731,Aguapey - La Sirena,,Altura hidrométrica media diaria,39,,sat2,,-28.4166666666667,-56.5422222222222,True,2,2026-08-29T03:00:00.000Z,
9192,2732,Atuel - La Angostura,,Altura hidrométrica,2,,sat2,,-35.0986111111111,-68.8747222222222,,,,
38428,2732,Atuel - La Angostura,,Altura hidrométrica 4-horaria,101,,sat2,,-35.0986111111111,-68.8747222222222,True,16,2026-08-30T15:00:00.000Z,False
32303,2749,Diamante - El Tigre,,Altura hidrométrica,2,,sat2,,-34.6613888888889,-68.595,,,,
37866,2749,Diamante - El Tigre,,Altura hidrométrica media diaria,39,,sat2,,-34.6613888888889,-68.595,,,,
38500,2749,Diamante - El Tigre,,Altura hidrométrica 4-horaria,101,,sat2,,-34.6613888888889,-68.595,,,,
26564,2762,Puelo - Hito fronterizo,,Altura hidrométrica media diaria,39,,sat2,,-42.1055555555556,-71.7247222222222,,,,
